,ImageName,label_name,label
5059,./data/NEU-CLS-64/rs/1160.jpg,rs,6
4736,./data/NEU-CLS-64/rs/432.jpg,rs,6
3358,./data/NEU-CLS-64/cr/794.jpg,cr,0
5231,./data/NEU-CLS-64/ps/205.jpg,ps,4
410,./data/NEU-CLS-64/sp/387.jpg,sp,8
526,./data/NEU-CLS-64/sc/59.jpg,sc,7
1497,./data/NEU-CLS-64/gg/225.jpg,gg,1
5493,./data/NEU-CLS-64/ps/269.jpg,ps,4
1727,./data/NEU-CLS-64/in/116.jpg,in,2
987,./data/NEU-CLS-64/sc/81.jpg,sc,7
713,./data/NEU-CLS-64/sc/729.jpg,sc,7
3023,./data/NEU-CLS-64/cr/1075.jpg,cr,0
2556,./data/NEU-CLS-64/cr/358.jpg,cr,0
2407,./data/NEU-CLS-64/cr/1190.jpg,cr,0
1560,./data/NEU-CLS-64/in/607.jpg,in,2
117,./data/NEU-CLS-64/sp/115.jpg,sp,8
6472,./data/NEU-CLS-64/pa/451.jpg,pa,3
2702,./data/NEU-CLS-64/cr/1130.jpg,cr,0
3586,./data/NEU-CLS-64/rs/188.jpg,rs,6
3764,./data/NEU-CLS-64/rs/415.jpg,rs,6
1617,./data/NEU-CLS-64/in/213.jpg,in,2
7026,./data/NEU-CLS-64/rp/63.jpg,rp,5
3099,./data/NEU-CLS-64/cr/284.jpg,cr,0
5429,./data/NEU-CLS-64/ps/108.jpg,ps,4
2525,./data/NEU-CLS-64/cr/1034.jpg,cr,0
3715,./data/NEU-CLS-64/rs/400.jpg,rs,6
1459,./data/NEU-CLS-64/gg/78.jpg,gg,1
3596,./data/NEU-CLS-64/rs/820.jpg,rs,6
847,./data/NEU-CLS-64/sc/255.jpg,sc,7
390,./data/NEU-CLS-64/sp/86.jpg,sp,8
5016,./data/NEU-CLS-64/rs/1565.jpg,rs,6
4056,./data/NEU-CLS-64/rs/1050.jpg,rs,6
1102,./data/NEU-CLS-64/sc/151.jpg,sc,7
2072,./data/NEU-CLS-64/in/590.jpg,in,2
795,./data/NEU-CLS-64/sc/530.jpg,sc,7
7210,./data/NEU-CLS-64/rp/191.jpg,rp,5
5530,./data/NEU-CLS-64/ps/27.jpg,ps,4
5007,./data/NEU-CLS-64/rs/595.jpg,rs,6
1476,./data/NEU-CLS-64/gg/144.jpg,gg,1
3600,./data/NEU-CLS-64/rs/1422.jpg,rs,6
2414,./data/NEU-CLS-64/cr/1153.jpg,cr,0
4368,./data/NEU-CLS-64/rs/1338.jpg,rs,6
6887,./data/NEU-CLS-64/pa/384.jpg,pa,3
7177,./data/NEU-CLS-64/rp/155.jpg,rp,5
6294,./data/NEU-CLS-64/pa/488.jpg,pa,3
4583,./data/NEU-CLS-64/rs/1116.jpg,rs,6
4616,./data/NEU-CLS-64/rs/911.jpg,rs,6
2987,./data/NEU-CLS-64/cr/1139.jpg,cr,0
1153,./data/NEU-CLS-64/sc/193.jpg,sc,7
4798,./data/NEU-CLS-64/rs/1013.jpg,rs,6
4634,./data/NEU-CLS-64/rs/332.jpg,rs,6
350,./data/NEU-CLS-64/sp/141.jpg,sp,8
4780,./data/NEU-CLS-64/rs/96.jpg,rs,6
3729,./data/NEU-CLS-64/rs/1547.jpg,rs,6
4905,./data/NEU-CLS-64/rs/1002.jpg,rs,6
6246,./data/NEU-CLS-64/pa/704.jpg,pa,3
6562,./data/NEU-CLS-64/pa/863.jpg,pa,3
4195,./data/NEU-CLS-64/rs/1484.jpg,rs,6
3736,./data/NEU-CLS-64/rs/1584.jpg,rs,6
1573,./data/NEU-CLS-64/in/773.jpg,in,2
3421,./data/NEU-CLS-64/cr/1175.jpg,cr,0
7093,./data/NEU-CLS-64/rp/12.jpg,rp,5
137,./data/NEU-CLS-64/sp/314.jpg,sp,8
1758,./data/NEU-CLS-64/in/498.jpg,in,2
3075,./data/NEU-CLS-64/cr/18.jpg,cr,0
6635,./data/NEU-CLS-64/pa/26.jpg,pa,3
3326,./data/NEU-CLS-64/cr/50.jpg,cr,0
5347,./data/NEU-CLS-64/ps/661.jpg,ps,4
991,./data/NEU-CLS-64/sc/143.jpg,sc,7
2297,./data/NEU-CLS-64/cr/360.jpg,cr,0
1127,./data/NEU-CLS-64/sc/568.jpg,sc,7
1734,./data/NEU-CLS-64/in/314.jpg,in,2
5482,./data/NEU-CLS-64/ps/645.jpg,ps,4
145,./data/NEU-CLS-64/sp/301.jpg,sp,8
6310,./data/NEU-CLS-64/pa/259.jpg,pa,3
11,./data/NEU-CLS-64/sp/228.jpg,sp,8
366,./data/NEU-CLS-64/sp/44.jpg,sp,8
5360,./data/NEU-CLS-64/ps/701.jpg,ps,4
6429,./data/NEU-CLS-64/pa/646.jpg,pa,3
3483,./data/NEU-CLS-64/cr/153.jpg,cr,0
2655,./data/NEU-CLS-64/cr/670.jpg,cr,0
1689,./data/NEU-CLS-64/in/673.jpg,in,2
1781,./data/NEU-CLS-64/in/259.jpg,in,2
3086,./data/NEU-CLS-64/cr/119.jpg,cr,0
307,./data/NEU-CLS-64/sp/340.jpg,sp,8
5401,./data/NEU-CLS-64/ps/528.jpg,ps,4
571,./data/NEU-CLS-64/sc/601.jpg,sc,7
975,./data/NEU-CLS-64/sc/642.jpg,sc,7
5376,./data/NEU-CLS-64/ps/489.jpg,ps,4
3526,./data/NEU-CLS-64/rs/572.jpg,rs,6
87,./data/NEU-CLS-64/sp/167.jpg,sp,8
4164,./data/NEU-CLS-64/rs/648.jpg,rs,6
728,./data/NEU-CLS-64/sc/648.jpg,sc,7
5595,./data/NEU-CLS-64/ps/469.jpg,ps,4
4537,./data/NEU-CLS-64/rs/319.jpg,rs,6
2284,./data/NEU-CLS-64/cr/189.jpg,cr,0
552,./data/NEU-CLS-64/sc/429.jpg,sc,7
3955,./data/NEU-CLS-64/rs/510.jpg,rs,6
5288,./data/NEU-CLS-64/ps/538.jpg,ps,4
1742,./data/NEU-CLS-64/in/738.jpg,in,2
590,./data/NEU-CLS-64/sc/760.jpg,sc,7
2436,./data/NEU-CLS-64/cr/602.jpg,cr,0
6324,./data/NEU-CLS-64/pa/270.jpg,pa,3
4585,./data/NEU-CLS-64/rs/496.jpg,rs,6
2887,./data/NEU-CLS-64/cr/929.jpg,cr,0
827,./data/NEU-CLS-64/sc/22.jpg,sc,7
5195,./data/NEU-CLS-64/ps/213.jpg,ps,4
2006,./data/NEU-CLS-64/in/643.jpg,in,2
4566,./data/NEU-CLS-64/rs/18.jpg,rs,6
4396,./data/NEU-CLS-64/rs/335.jpg,rs,6
929,./data/NEU-CLS-64/sc/696.jpg,sc,7
1761,./data/NEU-CLS-64/in/117.jpg,in,2
3587,./data/NEU-CLS-64/rs/836.jpg,rs,6
4827,./data/NEU-CLS-64/rs/1210.jpg,rs,6
4326,./data/NEU-CLS-64/rs/733.jpg,rs,6
4664,./data/NEU-CLS-64/rs/56.jpg,rs,6
406,./data/NEU-CLS-64/sp/146.jpg,sp,8
4527,./data/NEU-CLS-64/rs/279.jpg,rs,6
318,./data/NEU-CLS-64/sp/5.jpg,sp,8
3030,./data/NEU-CLS-64/cr/250.jpg,cr,0
376,./data/NEU-CLS-64/sp/347.jpg,sp,8
2060,./data/NEU-CLS-64/in/95.jpg,in,2
6511,./data/NEU-CLS-64/pa/335.jpg,pa,3
6603,./data/NEU-CLS-64/pa/709.jpg,pa,3
1582,./data/NEU-CLS-64/in/362.jpg,in,2
509,./data/NEU-CLS-64/sc/202.jpg,sc,7
2627,./data/NEU-CLS-64/cr/289.jpg,cr,0
592,./data/NEU-CLS-64/sc/204.jpg,sc,7
6753,./data/NEU-CLS-64/pa/744.jpg,pa,3
1175,./data/NEU-CLS-64/sc/556.jpg,sc,7
6111,./data/NEU-CLS-64/pa/990.jpg,pa,3
773,./data/NEU-CLS-64/sc/10.jpg,sc,7
3700,./data/NEU-CLS-64/rs/825.jpg,rs,6
3024,./data/NEU-CLS-64/cr/1061.jpg,cr,0
6924,./data/NEU-CLS-64/pa/583.jpg,pa,3
6893,./data/NEU-CLS-64/pa/582.jpg,pa,3
1368,./data/NEU-CLS-64/gg/23.jpg,gg,1
4461,./data/NEU-CLS-64/rs/693.jpg,rs,6
2222,./data/NEU-CLS-64/in/79.jpg,in,2
4150,./data/NEU-CLS-64/rs/1096.jpg,rs,6
5583,./data/NEU-CLS-64/ps/30.jpg,ps,4
1456,./data/NEU-CLS-64/gg/54.jpg,gg,1
4165,./data/NEU-CLS-64/rs/890.jpg,rs,6
4900,./data/NEU-CLS-64/rs/421.jpg,rs,6
3005,./data/NEU-CLS-64/cr/867.jpg,cr,0
4761,./data/NEU-CLS-64/rs/817.jpg,rs,6
7217,./data/NEU-CLS-64/rp/90.jpg,rp,5
2841,./data/NEU-CLS-64/cr/893.jpg,cr,0
4400,./data/NEU-CLS-64/rs/1070.jpg,rs,6
6368,./data/NEU-CLS-64/pa/312.jpg,pa,3
2189,./data/NEU-CLS-64/in/541.jpg,in,2
6356,./data/NEU-CLS-64/pa/662.jpg,pa,3
16,./data/NEU-CLS-64/sp/229.jpg,sp,8
6726,./data/NEU-CLS-64/pa/157.jpg,pa,3
1645,./data/NEU-CLS-64/in/403.jpg,in,2
415,./data/NEU-CLS-64/sp/436.jpg,sp,8
3787,./data/NEU-CLS-64/rs/1340.jpg,rs,6
6118,./data/NEU-CLS-64/pa/204.jpg,pa,3
5449,./data/NEU-CLS-64/ps/726.jpg,ps,4
2685,./data/NEU-CLS-64/cr/936.jpg,cr,0
5517,./data/NEU-CLS-64/ps/491.jpg,ps,4
5818,./data/NEU-CLS-64/ps/191.jpg,ps,4
2303,./data/NEU-CLS-64/cr/1019.jpg,cr,0
6646,./data/NEU-CLS-64/pa/30.jpg,pa,3
5136,./data/NEU-CLS-64/ps/439.jpg,ps,4
4178,./data/NEU-CLS-64/rs/1323.jpg,rs,6
2152,./data/NEU-CLS-64/in/380.jpg,in,2
4311,./data/NEU-CLS-64/rs/530.jpg,rs,6
4355,./data/NEU-CLS-64/rs/135.jpg,rs,6
4909,./data/NEU-CLS-64/rs/233.jpg,rs,6
5731,./data/NEU-CLS-64/ps/545.jpg,ps,4
6997,./data/NEU-CLS-64/pa/543.jpg,pa,3
4612,./data/NEU-CLS-64/rs/722.jpg,rs,6
7196,./data/NEU-CLS-64/rp/87.jpg,rp,5
6341,./data/NEU-CLS-64/pa/648.jpg,pa,3
3985,./data/NEU-CLS-64/rs/15.jpg,rs,6
4896,./data/NEU-CLS-64/rs/1176.jpg,rs,6
3515,./data/NEU-CLS-64/rs/406.jpg,rs,6
3032,./data/NEU-CLS-64/cr/907.jpg,cr,0
3261,./data/NEU-CLS-64/cr/1013.jpg,cr,0
2788,./data/NEU-CLS-64/cr/11.jpg,cr,0
1864,./data/NEU-CLS-64/in/281.jpg,in,2
5734,./data/NEU-CLS-64/ps/586.jpg,ps,4
4872,./data/NEU-CLS-64/rs/1406.jpg,rs,6
7117,./data/NEU-CLS-64/rp/34.jpg,rp,5
1465,./data/NEU-CLS-64/gg/145.jpg,gg,1
6922,./data/NEU-CLS-64/pa/1003.jpg,pa,3
4575,./data/NEU-CLS-64/rs/30.jpg,rs,6
1483,./data/NEU-CLS-64/gg/193.jpg,gg,1
1414,./data/NEU-CLS-64/gg/95.jpg,gg,1
7220,./data/NEU-CLS-64/rp/153.jpg,rp,5
61,./data/NEU-CLS-64/sp/399.jpg,sp,8
4776,./data/NEU-CLS-64/rs/197.jpg,rs,6
518,./data/NEU-CLS-64/sc/160.jpg,sc,7
731,./data/NEU-CLS-64/sc/674.jpg,sc,7
6462,./data/NEU-CLS-64/pa/525.jpg,pa,3
5483,./data/NEU-CLS-64/ps/123.jpg,ps,4
2123,./data/NEU-CLS-64/in/381.jpg,in,2
6325,./data/NEU-CLS-64/pa/264.jpg,pa,3
5542,./data/NEU-CLS-64/ps/318.jpg,ps,4
4473,./data/NEU-CLS-64/rs/1317.jpg,rs,6
94,./data/NEU-CLS-64/sp/359.jpg,sp,8
5618,./data/NEU-CLS-64/ps/440.jpg,ps,4
4243,./data/NEU-CLS-64/rs/1095.jpg,rs,6
4555,./data/NEU-CLS-64/rs/872.jpg,rs,6
3143,./data/NEU-CLS-64/cr/25.jpg,cr,0
4333,./data/NEU-CLS-64/rs/1258.jpg,rs,6
692,./data/NEU-CLS-64/sc/659.jpg,sc,7
6345,./data/NEU-CLS-64/pa/674.jpg,pa,3
162,./data/NEU-CLS-64/sp/264.jpg,sp,8
3367,./data/NEU-CLS-64/cr/965.jpg,cr,0
1904,./data/NEU-CLS-64/in/645.jpg,in,2
6403,./data/NEU-CLS-64/pa/307.jpg,pa,3
1135,./data/NEU-CLS-64/sc/346.jpg,sc,7
4205,./data/NEU-CLS-64/rs/312.jpg,rs,6
1682,./data/NEU-CLS-64/in/9.jpg,in,2
6428,./data/NEU-CLS-64/pa/120.jpg,pa,3
2989,./data/NEU-CLS-64/cr/122.jpg,cr,0
5017,./data/NEU-CLS-64/rs/797.jpg,rs,6
4638,./data/NEU-CLS-64/rs/497.jpg,rs,6
2708,./data/NEU-CLS-64/cr/117.jpg,cr,0
4425,./data/NEU-CLS-64/rs/1501.jpg,rs,6
4287,./data/NEU-CLS-64/rs/691.jpg,rs,6
1593,./data/NEU-CLS-64/in/61.jpg,in,2
1913,./data/NEU-CLS-64/in/282.jpg,in,2
2697,./data/NEU-CLS-64/cr/301.jpg,cr,0
2054,./data/NEU-CLS-64/in/4.jpg,in,2
4582,./data/NEU-CLS-64/rs/1499.jpg,rs,6
1380,./data/NEU-CLS-64/gg/251.jpg,gg,1
435,./data/NEU-CLS-64/sp/46.jpg,sp,8
7162,./data/NEU-CLS-64/rp/5.jpg,rp,5
6942,./data/NEU-CLS-64/pa/811.jpg,pa,3
1646,./data/NEU-CLS-64/in/365.jpg,in,2
5317,./data/NEU-CLS-64/ps/260.jpg,ps,4
5450,./data/NEU-CLS-64/ps/727.jpg,ps,4
5509,./data/NEU-CLS-64/ps/297.jpg,ps,4
7106,./data/NEU-CLS-64/rp/105.jpg,rp,5
341,./data/NEU-CLS-64/sp/237.jpg,sp,8
5357,./data/NEU-CLS-64/ps/517.jpg,ps,4
1589,./data/NEU-CLS-64/in/612.jpg,in,2
5050,./data/NEU-CLS-64/rs/594.jpg,rs,6
3943,./data/NEU-CLS-64/rs/1251.jpg,rs,6
2143,./data/NEU-CLS-64/in/545.jpg,in,2
4457,./data/NEU-CLS-64/rs/1313.jpg,rs,6
4294,./data/NEU-CLS-64/rs/652.jpg,rs,6
4744,./data/NEU-CLS-64/rs/1171.jpg,rs,6
5800,./data/NEU-CLS-64/ps/434.jpg,ps,4
579,./data/NEU-CLS-64/sc/417.jpg,sc,7
7052,./data/NEU-CLS-64/rp/71.jpg,rp,5
4732,./data/NEU-CLS-64/rs/585.jpg,rs,6
5931,./data/NEU-CLS-64/pa/349.jpg,pa,3
1027,./data/NEU-CLS-64/sc/630.jpg,sc,7
4406,./data/NEU-CLS-64/rs/241.jpg,rs,6
1809,./data/NEU-CLS-64/in/104.jpg,in,2
3332,./data/NEU-CLS-64/cr/623.jpg,cr,0
6391,./data/NEU-CLS-64/pa/501.jpg,pa,3
4258,./data/NEU-CLS-64/rs/893.jpg,rs,6
4758,./data/NEU-CLS-64/rs/1415.jpg,rs,6
1969,./data/NEU-CLS-64/in/536.jpg,in,2
6117,./data/NEU-CLS-64/pa/238.jpg,pa,3
6053,./data/NEU-CLS-64/pa/575.jpg,pa,3
5374,./data/NEU-CLS-64/ps/310.jpg,ps,4
1793,./data/NEU-CLS-64/in/338.jpg,in,2
1768,./data/NEU-CLS-64/in/107.jpg,in,2
4176,./data/NEU-CLS-64/rs/1451.jpg,rs,6
6717,./data/NEU-CLS-64/pa/56.jpg,pa,3
5969,./data/NEU-CLS-64/pa/940.jpg,pa,3
1895,./data/NEU-CLS-64/in/34.jpg,in,2
6812,./data/NEU-CLS-64/pa/430.jpg,pa,3
603,./data/NEU-CLS-64/sc/614.jpg,sc,7
5157,./data/NEU-CLS-64/ps/376.jpg,ps,4
3952,./data/NEU-CLS-64/rs/504.jpg,rs,6
3839,./data/NEU-CLS-64/rs/984.jpg,rs,6
6347,./data/NEU-CLS-64/pa/847.jpg,pa,3
2746,./data/NEU-CLS-64/cr/932.jpg,cr,0
3793,./data/NEU-CLS-64/rs/198.jpg,rs,6
5941,./data/NEU-CLS-64/pa/76.jpg,pa,3
2070,./data/NEU-CLS-64/in/433.jpg,in,2
5467,./data/NEU-CLS-64/ps/135.jpg,ps,4
4215,./data/NEU-CLS-64/rs/266.jpg,rs,6
2722,./data/NEU-CLS-64/cr/661.jpg,cr,0
6114,./data/NEU-CLS-64/pa/774.jpg,pa,3
2506,./data/NEU-CLS-64/cr/72.jpg,cr,0
2258,./data/NEU-CLS-64/in/225.jpg,in,2
2292,./data/NEU-CLS-64/cr/610.jpg,cr,0
4626,./data/NEU-CLS-64/rs/252.jpg,rs,6
2988,./data/NEU-CLS-64/cr/644.jpg,cr,0
6326,./data/NEU-CLS-64/pa/502.jpg,pa,3
7138,./data/NEU-CLS-64/rp/125.jpg,rp,5
4781,./data/NEU-CLS-64/rs/168.jpg,rs,6
3435,./data/NEU-CLS-64/cr/1029.jpg,cr,0
4117,./data/NEU-CLS-64/rs/1083.jpg,rs,6
5893,./data/NEU-CLS-64/pa/412.jpg,pa,3
2777,./data/NEU-CLS-64/cr/106.jpg,cr,0
4133,./data/NEU-CLS-64/rs/714.jpg,rs,6
651,./data/NEU-CLS-64/sc/29.jpg,sc,7
6668,./data/NEU-CLS-64/pa/521.jpg,pa,3
1353,./data/NEU-CLS-64/gg/36.jpg,gg,1
317,./data/NEU-CLS-64/sp/181.jpg,sp,8
1772,./data/NEU-CLS-64/in/311.jpg,in,2
465,./data/NEU-CLS-64/sc/201.jpg,sc,7
156,./data/NEU-CLS-64/sp/339.jpg,sp,8
2041,./data/NEU-CLS-64/in/497.jpg,in,2
570,./data/NEU-CLS-64/sc/167.jpg,sc,7
6062,./data/NEU-CLS-64/pa/373.jpg,pa,3
1967,./data/NEU-CLS-64/in/244.jpg,in,2
5382,./data/NEU-CLS-64/ps/13.jpg,ps,4
2953,./data/NEU-CLS-64/cr/269.jpg,cr,0
4597,./data/NEU-CLS-64/rs/535.jpg,rs,6
3428,./data/NEU-CLS-64/cr/350.jpg,cr,0
753,./data/NEU-CLS-64/sc/716.jpg,sc,7
2656,./data/NEU-CLS-64/cr/664.jpg,cr,0
4726,./data/NEU-CLS-64/rs/546.jpg,rs,6
2653,./data/NEU-CLS-64/cr/658.jpg,cr,0
1570,./data/NEU-CLS-64/in/571.jpg,in,2
3991,./data/NEU-CLS-64/rs/1469.jpg,rs,6
4049,./data/NEU-CLS-64/rs/1087.jpg,rs,6
6046,./data/NEU-CLS-64/pa/763.jpg,pa,3
4501,./data/NEU-CLS-64/rs/522.jpg,rs,6
4890,./data/NEU-CLS-64/rs/93.jpg,rs,6
3798,./data/NEU-CLS-64/rs/1418.jpg,rs,6
3682,./data/NEU-CLS-64/rs/1345.jpg,rs,6
1025,./data/NEU-CLS-64/sc/383.jpg,sc,7
1878,./data/NEU-CLS-64/in/519.jpg,in,2
1899,./data/NEU-CLS-64/in/692.jpg,in,2
3468,./data/NEU-CLS-64/cr/1000.jpg,cr,0
4386,./data/NEU-CLS-64/rs/651.jpg,rs,6
4711,./data/NEU-CLS-64/rs/989.jpg,rs,6
1957,./data/NEU-CLS-64/in/668.jpg,in,2
1814,./data/NEU-CLS-64/in/460.jpg,in,2
5940,./data/NEU-CLS-64/pa/836.jpg,pa,3
1195,./data/NEU-CLS-64/sc/437.jpg,sc,7
6947,./data/NEU-CLS-64/pa/193.jpg,pa,3
6333,./data/NEU-CLS-64/pa/304.jpg,pa,3
483,./data/NEU-CLS-64/sc/62.jpg,sc,7
2013,./data/NEU-CLS-64/in/327.jpg,in,2
1999,./data/NEU-CLS-64/in/682.jpg,in,2
4204,./data/NEU-CLS-64/rs/474.jpg,rs,6
7071,./data/NEU-CLS-64/rp/166.jpg,rp,5
6823,./data/NEU-CLS-64/pa/236.jpg,pa,3
1078,./data/NEU-CLS-64/sc/357.jpg,sc,7
6373,./data/NEU-CLS-64/pa/272.jpg,pa,3
4639,./data/NEU-CLS-64/rs/483.jpg,rs,6
1684,./data/NEU-CLS-64/in/14.jpg,in,2
5825,./data/NEU-CLS-64/ps/152.jpg,ps,4
567,./data/NEU-CLS-64/sc/198.jpg,sc,7
3834,./data/NEU-CLS-64/rs/775.jpg,rs,6
6710,./data/NEU-CLS-64/pa/695.jpg,pa,3
3398,./data/NEU-CLS-64/cr/805.jpg,cr,0
2749,./data/NEU-CLS-64/cr/729.jpg,cr,0
6162,./data/NEU-CLS-64/pa/317.jpg,pa,3
3617,./data/NEU-CLS-64/rs/405.jpg,rs,6
7152,./data/NEU-CLS-64/rp/81.jpg,rp,5
2478,./data/NEU-CLS-64/cr/207.jpg,cr,0
98,./data/NEU-CLS-64/sp/238.jpg,sp,8
4016,./data/NEU-CLS-64/rs/1045.jpg,rs,6
3309,./data/NEU-CLS-64/cr/83.jpg,cr,0
